state_county,Urban,Pop2010,OHU2010,MedianFamilyIncome,LA1and10,LIPct
Alabama_Autauga County,0.5344596947096443,54571,20221,75759.55377398252,1,0.31597368565721723
Alabama_Baldwin County,0.4539763531122267,182265,73180,73727.42588538666,0,0.3173565961649247
Alabama_Barbour County,0.24175984266307318,27457,9820,45025.706996394365,0,0.4397057216738901
Alabama_Bibb County,0.0,22915,7953,57929.82295439668,0,0.3477198341697578
Alabama_Blount County,0.1229894281427724,57322,21578,60206.63881232336,0,0.3627751997487875
Alabama_Bullock County,0.6507238409382444,10914,3745,37805.503756642844,1,0.4367784496976361
Alabama_Butler County,0.21086551773523654,20947,8491,47799.858595502934,0,0.4522365971260801
Alabama_Calhoun County,0.698217117025942,118572,47331,54822.56831504458,1,0.3916691967749553
Alabama_Chambers County,0.38176238491889525,34215,13933,52432.93914949583,0,0.4379950314189683
Alabama_Cherokee County,0.15456539305090616,25989,10626,52070.3095540421,0,0.4152910846896764
Alabama_Chilton County,0.14442178585340146,43643,16558,56825.821666704855,0,0.4136516738079417
Alabama_Choctaw County,0.0,13859,5866,48882.93058662241,0,0.43524063785265893
Alabama_Clarke County,0.3772306739441799,25833,10337,53211.90694073472,1,0.42031510084001084
Alabama_Clay County,0.0,13932,5670,50240.72035601493,0,0.4158053402239449
Alabama_Cleburne County,0.0,14972,5891,53030.103326208926,0,0.41116751269035534
Alabama_Coffee County,0.526107151437495,49948,19849,64462.58174501482,0,0.34165532153439576
Alabama_Colbert County,0.6234658631586684,54428,22773,57815.21117807011,0,0.3646836187256559
Alabama_Conecuh County,0.0,13228,5625,41528.70350771092,1,0.5464166918657394
Alabama_Coosa County,0.0,11539,4794,46458.46615824595,1,0.37048271080682904
Alabama_Covington County,0.17841917119025552,37765,15531,55705.93176221369,0,0.38816364358533034
Alabama_Crenshaw County,0.0,13906,5652,54048.18092909535,0,0.4297425571695671
Alabama_Cullman County,0.2119617938959779,80406,31864,53823.77484267343,0,0.4086635325721961
Alabama_Dale County,0.3424210463473364,50251,20065,55944.82869992637,0,0.3954548168195658
Alabama_Dallas County,0.47487448653582837,43820,17064,43282.814673664994,0,0.5080785029666819
Alabama_DeKalb County,0.0,71109,26842,47170.60823524449,0,0.48993798253385645
Alabama_Elmore County,0.2869374424674981,79303,28301,70297.83768583786,0,0.2685270418521367
Alabama_Escambia County,0.13719042772514942,38319,14157,46319.64083091939,0,0.44711500822046507
Alabama_Etowah County,0.6761562769319162,104430,42036,56931.458163363015,0,0.3806473235660251
Alabama_Fayette County,0.0,17241,7100,48942.99373586219,0,0.43292152427353403
Alabama_Franklin County,0.2930860459248044,31704,12286,48911.79576709563,0,0.4641054756497603
Alabama_Geneva County,0.20201567749160135,26790,10920,48569.384247853675,0,0.4422172452407615
Alabama_Greene County,0.0,9045,3764,30384.621006080706,0,0.6201216141514649
Alabama_Hale County,0.0,15760,6273,44098.07569796954,0,0.4741751269035533
Alabama_Henry County,0.3439486764535892,17302,6994,56203.26673216969,0,0.39007051207952836
Alabama_Houston County,0.5828926506937674,101547,40969,58136.37494953076,0,0.4082050676041636
Alabama_Jackson County,0.14231499051233396,53227,21513,49059.70235031093,0,0.4438536832810416
Alabama_Jefferson County,0.8565924436493304,658466,263568,71883.47136563202,1,0.3475471778345427
Alabama_Lamar County,0.0,14564,6103,49515.53089810492,0,0.4443834111507827
Alabama_Lauderdale County,0.488280533713016,92709,38680,63075.68078236915,0,0.3629097498624729
Alabama_Lawrence County,0.13145403185881943,34339,13654,56217.12964850462,0,0.355397652814584
Alabama_Lee County,0.771595827361726,140247,55682,66452.8831346212,1,0.4293852987942701
Alabama_Limestone County,0.2353651760044454,82782,31446,70951.33997728975,0,0.33791162329975116
Alabama_Lowndes County,0.0,11299,4352,42085.1186830693,0,0.4904858837065227
Alabama_Macon County,0.48200633973522283,21452,8499,48280.34433011014,0,0.3940425135185531
Alabama_Madison County,0.828135873672012,334811,134700,81649.69243244696,1,0.29362834554420253
Alabama_Marengo County,0.2489656156370381,21027,8535,53766.75027345793,0,0.4481856660484139
Alabama_Marion County,0.0,30776,12651,46536.67071744216,0,0.4462243306472576
Alabama_Marshall County,0.44397381180188994,93019,35810,54230.03270299616,0,0.4473064642707404
Alabama_Mobile County,0.737825430032543,412992,158435,59773.19245113106,0,0.3893634743530141
Alabama_Monroe County,0.0,23068,9214,47267.89335876539,0,0.48617131957690307
Alabama_Montgomery County,0.879679808861935,229363,89981,61223.554566342435,0,0.38861542620213374
Alabama_Morgan County,0.5683153401958323,119490,47030,61361.45429743075,0,0.3517783914971964
Alabama_Perry County,0.0,10591,3947,32099.84128033236,1,0.5551883674818242
Alabama_Pickens County,0.0,19746,8012,53757.27413146966,0,0.4422161450420338
Alabama_Pike County,0.4582510106690173,32899,13210,52014.751238639474,0,0.4654548770479346
Alabama_Randolph County,0.2216209138916772,22913,9164,51483.98782350631,1,0.40671234670274514
Alabama_Russell County,0.5548945171586681,52947,21229,50683.737605530056,0,0.46841180803444954
Alabama_Shelby County,0.6253120434682318,195085,74072,93355.8253147943,0,0.22674218930209908
Alabama_St. Clair County,0.12570430538442215,83593,31624,64872.88128192552,0,0.3350280525881354
Alabama_Sumter County,0.0,13763,5629,43238.75121703117,0,0.5577998982779917
Alabama_Talladega County,0.3719483297079875,82291,31890,51801.187578228484,0,0.4198879585859936
Alabama_Tallapoosa County,0.09734236831987697,41616,16985,53695.41774798155,0,0.4212322183775471
Alabama_Tuscaloosa County,0.685177954956436,194656,76141,68760.33920116801,0,0.3631894213381555
Alabama_Walker County,0.13957895050952657,67023,26571,55001.4552019456,0,0.40356295600017905
Alabama_Washington County,0.0,17581,6758,51375.75206188499,0,0.42187588874352994
Alabama_Wilcox County,0.0,11670,4484,41333.99100257069,1,0.5005998286203942
Alabama_Winston County,0.0,24484,10163,47868.712220225454,0,0.4486603496160758
Alaska_Aleutians East Borough,0.0,3141,553,77941.0,1,0.38108882521489973
Alaska_Aleutians West Census Area,0.0,5561,1212,89652.68728645927,0,0.27602949109872327
Alaska_Anchorage Municipality,0.961586698923331,291826,107332,99200.80400992373,0,0.20976883485364567
Alaska_Bethel Census Area,0.35737377299711987,17013,4651,58656.59907129842,1,0.5719155939575619
Alaska_Bristol Bay Borough,0.0,997,423,98472.0,1,0.17953861584754263
Alaska_Denali Borough,0.0,1826,806,102500.0,1,0.4408543263964951
Alaska_Dillingham Census Area,0.0,4847,1563,61344.823602228185,0,0.45615844852486076
Alaska_Fairbanks North Star Borough,0.6309732427419272,97581,36441,87242.06836371835,0,0.22202068025537758
Alaska_Haines Borough,0.0,2508,1149,76719.0,1,0.25757575757575757
Alaska_Hoonah-Angoon Census Area,0.0,2150,913,72717.17209302326,1,0.31534883720930235
Alaska_Juneau City and Borough,0.4017905675459632,31275,12187,111125.94980015987,0,0.16258992805755396
Alaska_Kenai Peninsula Borough,0.12815884476534295,55400,22161,87498.38889891696,0,0.2995667870036101
Alaska_Ketchikan Gateway Borough,0.5731987831119686,13477,5305,83462.63055576167,0,0.25680789493210654
Alaska_Kodiak Island Borough,0.769496762801648,13592,4630,92577.35712183638,1,0.2607416127133608
Alaska_Kusilvak Census Area,0.0,7459,1745,35354.0,0,0.0
Alaska_Lake and Peninsula Borough,0.0,1631,553,48984.0,1,0.3482526057633354
Alaska_Matanuska-Susitna Borough,0.33226585763245126,88995,31824,89962.33835608742,0,0.2764087870105062
Alaska_Nome Census Area,0.0,9492,2815,57847.38980193847,1,0.4830383480825959
Alaska_North Slope Borough,0.0,9430,2029,81254.64682022309,0,0.2650053022269353
Alaska_Northwest Arctic Borough,0.4254951482121494,7523,1919,61338.82094908946,0,0.5049847135451283
Alaska_Petersburg Borough,0.0,3815,1599,78482.0,0,0.18138925294888597
