Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,TractLOWI,LA1and10
1,1912,693,11.3,81250.0,455.0,1
1,2170,743,17.9,49000.0,802.0,1
1,3373,1256,15.0,62609.0,1306.0,1
1,4386,1722,2.8,70607.0,922.0,1
1,10766,4082,15.2,96334.0,2242.0,1
1,3668,1311,21.6,69521.0,1659.0,1
1,2891,1188,30.5,39875.0,2175.0,1
0,3081,1074,8.9,89423.0,527.0,0
0,10435,3694,13.7,84833.0,3103.0,0
0,5675,2067,9.8,77865.0,1612.0,0
0,2894,1085,22.7,60900.0,977.0,1
0,3320,1306,24.1,49833.0,1463.0,1
0,3804,1510,10.2,56464.0,1496.0,1
0,2902,1111,20.2,44954.0,1715.0,0
0,7826,2727,6.4,81799.0,2492.0,0
0,4736,1740,12.3,58359.0,1347.0,0
1,4815,1798,14.3,69951.0,1516.0,1
1,3325,1186,27.7,50536.0,2174.0,1
1,7882,3054,4.8,112717.0,1199.0,1
0,13166,4878,2.1,102153.0,1257.0,0
1,5055,1967,13.4,80678.0,2045.0,1
1,8331,3689,14.2,76343.0,2680.0,1
1,6861,2770,8.3,92714.0,2258.0,1
0,5173,1799,12.5,63116.0,1406.0,0
0,6831,2564,17.0,65515.0,1843.0,0
0,8011,3000,16.0,58296.0,2694.0,0
1,4302,1597,15.5,51630.0,1925.0,1
0,4305,1664,21.7,48244.0,2047.0,0
1,8397,3423,5.5,89861.0,1576.0,1
0,3715,1389,7.2,77321.0,1062.0,0
1,4230,1984,15.9,83102.0,1338.0,0
1,5065,2282,5.5,79063.0,1996.0,1
0,4487,1842,4.3,95863.0,1003.0,0
0,10632,4159,11.4,64722.0,3769.0,0
0,9131,4030,7.9,61375.0,3084.0,0
1,3832,1795,6.7,105806.0,853.0,1
0,3412,1484,5.6,76136.0,561.0,0
1,4799,2161,16.2,70230.0,1515.0,1
0,433,216,13.4,101563.0,87.0,0
1,5316,2219,14.2,58843.0,1727.0,1
